Region,Country,Product Category,Product Name,Sales Amount,Year,Discount,Profit Margin,Order Priority,Customer Age,Payment Method,Delivery Status
Asia,China,Electronics,Laptop,3288.63,2024,25.62,34.68,High,48,PayPal,Shipped
Asia,China,Electronics,Tablet,8950.76,2024,18.68,42.15,High,67,Cash,Shipped
Asia,China,Electronics,Tablet,7060.97,2024,28.16,29.99,Low,25,Credit Card,Pending
Asia,China,Electronics,Tablet,1775.86,2024,21.51,14.97,Low,59,Cash,Pending
Asia,China,Electronics,Smartphone,10398.91,2024,21.93,45.65,Low,26,PayPal,Pending
Asia,China,Electronics,Laptop,2826.67,2024,5.97,14.2,High,34,PayPal,Pending
Asia,China,Electronics,Tablet,1371.03,2024,6.76,16.04,Medium,58,Credit Card,Pending
Asia,China,Electronics,Camera,15372.38,2024,22.33,28.0,Low,64,PayPal,Shipped
Asia,China,Electronics,Laptop,2699.24,2024,8.36,21.76,High,18,PayPal,Delivered
Asia,China,Electronics,Laptop,3651.05,2024,11.32,23.43,High,21,PayPal,Shipped
Asia,China,Electronics,Tablet,10583.52,2025,12.2,26.04,Medium,47,Bank Transfer,Pending
Asia,China,Electronics,Tablet,1650.29,2025,16.31,33.6,Low,68,Credit Card,Pending
Asia,China,Electronics,Tablet,1753.04,2025,24.74,36.13,High,36,PayPal,Delivered
Asia,China,Electronics,Smartphone,10484.15,2025,13.52,16.73,Medium,25,Bank Transfer,Pending
Asia,China,Electronics,Tablet,13543.37,2025,24.83,41.46,High,54,Cash,Delivered
Asia,China,Electronics,Tablet,1718.34,2025,10.91,47.17,Medium,36,Bank Transfer,Delivered
Asia,China,Electronics,Tablet,6970.02,2025,28.69,20.76,Medium,60,Cash,Pending
Asia,China,Electronics,Tablet,7374.96,2025,25.75,32.7,Low,69,PayPal,Pending
Asia,China,Electronics,Tablet,7045.98,2025,17.19,32.49,High,70,Credit Card,Delivered
Asia,China,Electronics,Camera,14529.94,2025,9.09,44.71,Medium,67,Credit Card,Pending
Asia,China,Electronics,Tablet,12853.89,2025,24.91,17.3,Low,48,Credit Card,Pending
Asia,China,Electronics,Tablet,8108.33,2025,8.43,20.16,Medium,30,Credit Card,Delivered
Asia,China,Electronics,Tablet,6197.86,2025,24.87,28.9,Medium,29,PayPal,Shipped
Asia,China,Electronics,Tablet,8677.08,2025,15.08,39.39,Low,26,Bank Transfer,Pending
Asia,China,Electronics,Tablet,1628.85,2025,20.38,29.99,Medium,23,Cash,Shipped
Asia,China,Electronics,Smartphone,9387.11,2025,6.48,19.63,Medium,20,PayPal,Delivered
Asia,China,Electronics,Camera,13794.72,2025,15.16,22.69,High,59,PayPal,Pending
Asia,China,Electronics,Camera,12273.81,2025,20.68,48.6,High,35,Credit Card,Delivered
Asia,China,Electronics,Laptop,2673.86,2025,26.5,32.17,High,26,Credit Card,Pending
Asia,China,Electronics,Tablet,1514.54,2025,13.63,19.69,Medium,23,Credit Card,Delivered
Asia,China,Electronics,Tablet,6505.4,2025,20.36,34.85,Low,64,Cash,Pending
Asia,China,Electronics,Tablet,7242.74,2025,13.24,13.7,Medium,60,Credit Card,Pending
Asia,China,Electronics,Tablet,15354.24,2025,10.75,44.69,Medium,46,Bank Transfer,Shipped
Asia,China,Electronics,Smartphone,7108.37,2025,15.28,34.21,Medium,63,Credit Card,Pending
Asia,China,Electronics,Smartphone,9050.68,2025,17.08,29.68,Low,39,Credit Card,Shipped
Asia,China,Electronics,Tablet,11124.47,2025,8.23,13.63,Medium,55,Bank Transfer,Shipped
Asia,China,Electronics,Smartphone,8899.05,2025,7.8,11.2,High,55,Bank Transfer,Pending
Asia,China,Electronics,Tablet,10377.41,2025,7.56,35.57,Low,33,PayPal,Shipped
Asia,China,Electronics,Tablet,7123.25,2025,15.54,41.39,High,19,Bank Transfer,Delivered
Asia,China,Electronics,Tablet,8515.6,2025,11.88,34.6,Low,59,Bank Transfer,Delivered
Asia,China,Food,Cheese,6879.46,2020,27.04,23.35,High,57,Bank Transfer,Delivered
Asia,China,Food,Bread,17808.92,2020,28.68,28.21,Low,65,Bank Transfer,Shipped
Asia,China,Food,Bread,1994.96,2020,28.88,42.4,High,46,Cash,Delivered
Asia,China,Food,Cheese,20438.66,2020,14.5,10.18,Medium,46,Bank Transfer,Pending
Asia,China,Food,Bread,8657.11,2020,16.0,11.46,High,24,Bank Transfer,Shipped
Asia,China,Food,Fruit,4194.03,2020,16.89,46.97,Medium,38,Bank Transfer,Delivered
Asia,China,Food,Milk,15821.32,2020,23.53,16.14,Medium,52,Credit Card,Pending
Asia,China,Food,Fruit,5662.14,2020,5.91,41.36,High,61,Cash,Shipped
Asia,China,Food,Cheese,19390.24,2020,11.5,40.15,High,19,Credit Card,Pending
Asia,China,Food,Cheese,6848.5,2020,8.82,34.57,High,60,Credit Card,Pending
Asia,China,Food,Milk,16733.88,2020,10.89,46.06,Medium,50,Bank Transfer,Shipped
Asia,China,Food,Fruit,16639.89,2020,10.19,46.03,Medium,53,Bank Transfer,Delivered
Asia,China,Food,Cheese,18099.28,2020,21.32,25.05,High,33,Cash,Delivered
Asia,China,Food,Cheese,17138.56,2020,9.66,48.47,Low,67,PayPal,Shipped
Asia,China,Food,Cheese,16717.48,2020,13.96,12.35,High,63,PayPal,Shipped
Asia,China,Food,Fruit,5898.57,2020,17.69,30.15,High,63,Cash,Pending
Asia,China,Food,Fruit,16279.11,2020,26.71,27.64,Low,26,Credit Card,Delivered
Asia,China,Food,Milk,15488.72,2020,29.13,17.9,High,54,Credit Card,Pending
Asia,China,Food,Fruit,17780.02,2020,20.72,36.92,Low,58,PayPal,Pending
Asia,China,Food,Bread,6841.68,2020,27.49,25.33,Low,68,Credit Card,Pending
Asia,China,Food,Bread,21344.01,2020,24.96,46.16,Medium,44,PayPal,Delivered
Asia,China,Food,Milk,18464.5,2020,25.87,46.0,Medium,68,Cash,Delivered
Asia,China,Food,Bread,17821.83,2020,25.69,43.34,High,23,PayPal,Pending
Asia,China,Food,Bread,16110.56,2020,7.6,19.52,Low,51,PayPal,Delivered
Asia,China,Food,Fruit,11710.42,2020,9.51,12.68,Medium,37,PayPal,Delivered
Asia,China,Food,Bread,10450.13,2020,21.35,28.19,High,48,PayPal,Delivered
Asia,China,Food,Bread,15005.88,2020,6.21,21.64,Low,42,Bank Transfer,Pending
Asia,China,Food,Cheese,14711.98,2020,23.15,33.74,Medium,35,Credit Card,Pending
Asia,China,Food,Fruit,12805.4,2020,29.6,38.75,Medium,37,Credit Card,Delivered
Asia,China,Food,Bread,10768.0,2020,23.21,35.22,Low,33,Bank Transfer,Shipped
Asia,China,Food,Cheese,15860.76,2021,24.85,44.49,Low,26,Credit Card,Pending
Asia,China,Food,Cheese,5162.56,2021,25.66,32.83,Medium,68,Bank Transfer,Pending
Asia,China,Food,Milk,21655.29,2021,14.55,17.8,High,24,Credit Card,Pending
Asia,China,Food,Fruit,21756.22,2021,10.0,11.45,High,30,PayPal,Delivered
Asia,China,Food,Fruit,17481.96,2021,7.89,18.94,Medium,62,Cash,Shipped
Asia,China,Food,Fruit,23365.24,2021,27.92,41.43,Medium,60,Cash,Pending
Asia,China,Food,Cheese,12499.9,2021,6.47,25.15,Low,64,Credit Card,Delivered
Asia,China,Food,Bread,2041.48,2021,7.09,43.99,High,56,Cash,Shipped
Asia,China,Food,Bread,1935.93,2021,26.36,31.71,High,53,Bank Transfer,Delivered
Asia,China,Food,Bread,8741.53,2021,15.42,19.69,High,63,PayPal,Shipped
Asia,China,Food,Milk,15510.59,2021,11.18,39.35,High,37,Credit Card,Shipped
Asia,China,Food,Bread,1929.61,2021,24.27,46.76,Medium,42,Credit Card,Pending
Asia,China,Food,Fruit,16403.55,2021,7.02,48.02,Low,22,PayPal,Pending
Asia,China,Food,Bread,7118.17,2021,11.16,45.82,High,18,Cash,Delivered
Asia,China,Food,Milk,16645.32,2021,9.84,36.99,Low,44,Bank Transfer,Pending
Asia,China,Food,Fruit,15847.97,2021,6.99,34.29,Low,30,PayPal,Delivered
Asia,China,Food,Cheese,16628.24,2021,17.25,30.11,Low,58,Cash,Shipped
Asia,China,Food,Cheese,23725.98,2021,12.22,15.04,Medium,23,Cash,Pending
Asia,China,Food,Fruit,17832.33,2021,16.76,32.82,Medium,32,Cash,Pending
Asia,China,Food,Fruit,4347.32,2021,15.22,49.8,Low,45,PayPal,Pending
Asia,China,Food,Bread,16802.45,2021,25.2,42.89,Low,49,Bank Transfer,Pending
Asia,China,Food,Milk,12437.3,2021,28.08,13.32,Medium,67,Cash,Delivered
Asia,China,Food,Milk,14144.3,2021,23.01,41.19,Low,50,PayPal,Pending
Asia,China,Food,Bread,1904.04,2021,8.56,45.43,Low,21,PayPal,Pending
Asia,China,Food,Fruit,16672.2,2021,9.15,42.74,Medium,52,Bank Transfer,Delivered
Asia,China,Food,Fruit,4091.55,2021,24.76,19.99,Medium,28,PayPal,Delivered
Asia,China,Food,Fruit,6206.56,2021,5.97,12.32,Low,38,Credit Card,Delivered
Asia,China,Food,Fruit,23435.39,2021,13.75,13.29,Low,53,PayPal,Delivered
Asia,China,Food,Bread,2692.77,2021,27.91,45.53,High,20,Credit Card,Shipped
Asia,China,Food,Fruit,15478.52,2021,19.1,47.3,High,26,Cash,Pending
Asia,China,Food,Fruit,24843.88,2022,11.14,38.1,High,68,Bank Transfer,Pending
Asia,China,Food,Cheese,7753.06,2022,15.2,18.4,Medium,48,Cash,Shipped
Asia,China,Food,Milk,13174.52,2022,26.07,35.99,High,23,PayPal,Delivered
Asia,China,Food,Milk,17853.18,2022,5.53,40.83,Medium,53,PayPal,Pending
Asia,China,Food,Fruit,23897.12,2022,24.74,23.75,Low,50,PayPal,Shipped
Asia,China,Food,Fruit,23846.39,2022,19.57,19.27,High,26,PayPal,Shipped
Asia,China,Food,Cheese,6323.55,2022,18.12,43.0,High,70,Bank Transfer,Shipped
Asia,China,Food,Bread,8264.59,2022,12.44,30.49,High,52,Credit Card,Delivered
Asia,China,Food,Bread,2354.9,2022,24.67,38.5,High,30,Credit Card,Shipped
Asia,China,Food,Bread,18287.47,2022,20.35,31.02,Medium,64,Cash,Delivered
Asia,China,Food,Cheese,21536.85,2022,8.06,25.39,Medium,60,PayPal,Pending
Asia,China,Food,Bread,15149.79,2022,15.89,12.79,Low,63,Cash,Pending
Asia,China,Food,Milk,14676.67,2022,25.72,35.86,High,21,Credit Card,Delivered
Asia,China,Food,Milk,18911.25,2022,20.24,46.61,High,64,Cash,Pending
Asia,China,Food,Bread,7986.3,2022,21.48,42.08,Medium,23,Cash,Shipped
Asia,China,Food,Bread,19765.46,2022,25.03,18.21,Low,39,Cash,Pending
Asia,China,Food,Fruit,4304.28,2022,12.28,16.58,Low,33,PayPal,Pending
Asia,China,Food,Bread,7230.81,2022,19.03,25.71,Medium,20,Cash,Shipped
Asia,China,Food,Bread,21886.3,2022,18.89,36.13,Medium,46,Bank Transfer,Pending
Asia,China,Food,Cheese,15671.49,2022,13.01,34.86,Low,62,PayPal,Delivered
Asia,China,Food,Fruit,21106.54,2022,7.79,23.86,Low,59,Bank Transfer,Pending
Asia,China,Food,Fruit,22108.88,2022,28.0,39.37,High,64,PayPal,Pending
Asia,China,Food,Cheese,20791.85,2022,28.76,33.52,Low,53,Bank Transfer,Delivered
Asia,China,Food,Milk,23053.79,2022,8.65,32.08,Low,24,Bank Transfer,Shipped
Asia,China,Food,Cheese,6703.21,2022,8.44,15.57,Low,38,Credit Card,Shipped
Asia,China,Food,Cheese,17803.05,2022,13.08,46.25,High,63,Cash,Delivered
Asia,China,Food,Cheese,12383.21,2022,19.05,31.86,Medium,43,Credit Card,Delivered
Asia,China,Food,Fruit,4857.24,2022,9.65,36.48,Medium,24,Bank Transfer,Shipped
Asia,China,Food,Cheese,7789.91,2022,25.36,46.7,High,20,Credit Card,Delivered
Asia,China,Food,Fruit,5537.88,2022,9.17,18.94,Medium,50,PayPal,Delivered
Asia,China,Food,Fruit,20669.89,2023,10.71,44.51,High,35,Credit Card,Delivered
Asia,China,Food,Fruit,15620.54,2023,16.91,40.0,Low,25,Credit Card,Shipped
Asia,China,Food,Cheese,11586.94,2023,22.02,25.83,Medium,57,Bank Transfer,Delivered
Asia,China,Food,Cheese,6247.02,2023,27.84,26.43,High,21,Credit Card,Delivered
Asia,China,Food,Milk,19052.84,2023,12.73,25.43,Low,20,Cash,Shipped
Asia,China,Food,Fruit,23904.88,2023,14.63,45.05,Low,21,PayPal,Delivered
Asia,China,Food,Bread,19125.52,2023,24.91,41.0,High,61,Credit Card,Delivered
Asia,China,Food,Milk,19039.82,2023,6.79,21.12,High,24,Credit Card,Pending
Asia,China,Food,Bread,18939.47,2023,16.46,20.64,High,27,Cash,Shipped
Asia,China,Food,Cheese,6530.95,2023,19.41,25.99,High,26,PayPal,Delivered
Asia,China,Food,Milk,21793.29,2023,18.51,35.3,Medium,29,PayPal,Pending
Asia,China,Food,Fruit,4456.07,2023,6.83,12.9,Low,19,Cash,Shipped
Asia,China,Food,Cheese,23712.9,2023,22.35,48.9,High,65,Credit Card,Pending
Asia,China,Food,Fruit,4125.68,2023,18.3,10.77,High,34,Credit Card,Delivered
Asia,China,Food,Bread,2282.7,2023,29.02,18.43,High,29,Credit Card,Delivered
Asia,China,Food,Fruit,12668.52,2023,17.99,39.18,Medium,20,Bank Transfer,Pending
Asia,China,Food,Fruit,23801.7,2023,23.51,46.22,High,28,Credit Card,Delivered
Asia,China,Food,Fruit,13776.97,2023,12.67,38.36,Medium,36,Cash,Pending
Asia,China,Food,Fruit,6078.13,2023,23.42,18.04,Low,48,Cash,Delivered
Asia,China,Food,Cheese,5937.0,2023,12.7,49.9,Medium,56,Cash,Shipped
Asia,China,Food,Fruit,22717.43,2023,7.07,26.74,Medium,53,Bank Transfer,Delivered
Asia,China,Food,Fruit,5078.17,2023,27.12,44.32,Medium,65,PayPal,Delivered
Asia,China,Food,Cheese,19823.71,2023,15.01,10.1,High,38,Credit Card,Pending
Asia,China,Food,Fruit,14996.68,2023,5.63,14.91,High,37,Cash,Pending
Asia,China,Food,Cheese,24226.22,2023,24.46,28.26,Medium,33,PayPal,Delivered
Asia,China,Food,Bread,15340.62,2023,5.75,33.08,Low,42,Cash,Shipped
Asia,China,Food,Fruit,15890.05,2023,15.37,44.42,Medium,26,Bank Transfer,Pending
Asia,China,Food,Fruit,4841.39,2023,6.59,21.76,High,52,Bank Transfer,Delivered
Asia,China,Food,Fruit,16729.87,2023,11.85,28.98,Medium,33,Cash,Shipped
Asia,China,Food,Milk,16455.84,2023,29.23,34.14,High,49,Credit Card,Pending
Asia,China,Food,Bread,15372.22,2024,20.67,48.81,Low,32,Credit Card,Delivered
Asia,China,Food,Fruit,5931.65,2024,29.32,10.79,Low,54,PayPal,Shipped
Asia,China,Food,Bread,18040.29,2024,15.8,17.42,Medium,61,Bank Transfer,Shipped
Asia,China,Food,Bread,1909.99,2024,25.38,32.7,Medium,28,Credit Card,Pending
Asia,China,Food,Milk,18040.65,2024,10.21,10.92,High,20,Cash,Pending
Asia,China,Food,Bread,16352.59,2024,26.28,20.36,High,66,PayPal,Pending
Asia,China,Food,Bread,6977.62,2024,7.43,38.68,High,35,Credit Card,Delivered
Asia,China,Food,Bread,8599.73,2024,22.33,46.93,Low,58,Bank Transfer,Pending
Asia,China,Food,Bread,17154.62,2024,10.78,45.42,High,26,Bank Transfer,Delivered
Asia,China,Food,Bread,21487.41,2024,17.02,38.43,Low,39,Bank Transfer,Shipped
Asia,China,Food,Cheese,11929.14,2024,27.65,28.33,Low,57,Bank Transfer,Pending
Asia,China,Food,Milk,18378.81,2024,10.8,30.02,High,66,Cash,Shipped
Asia,China,Food,Fruit,16139.07,2024,7.13,39.48,High,22,PayPal,Pending
Asia,China,Food,Fruit,16866.66,2024,19.91,36.54,Medium,45,Credit Card,Delivered
Asia,China,Food,Cheese,11928.57,2024,22.97,27.83,High,51,Bank Transfer,Pending
Asia,China,Food,Bread,8471.45,2024,6.07,28.97,Medium,37,PayPal,Shipped
Asia,China,Food,Cheese,17198.32,2024,14.58,14.63,Medium,33,PayPal,Pending
Asia,China,Food,Bread,21306.12,2024,16.49,14.52,Low,26,PayPal,Pending
Asia,China,Food,Fruit,12931.74,2024,20.94,39.81,High,46,Credit Card,Shipped
Asia,China,Food,Fruit,21826.14,2024,6.62,18.07,High,37,PayPal,Pending
Asia,China,Food,Fruit,16111.22,2024,5.21,49.65,Low,34,PayPal,Delivered
Asia,China,Food,Fruit,20547.94,2024,5.75,22.42,High,69,Cash,Pending
Asia,China,Food,Bread,14890.94,2024,14.07,41.55,High,47,PayPal,Pending
Asia,China,Food,Fruit,20205.45,2024,26.51,48.75,Low,51,Cash,Pending
Asia,China,Food,Bread,16437.09,2024,7.55,28.2,Medium,31,Bank Transfer,Delivered
Asia,China,Food,Cheese,5482.84,2024,8.09,22.65,Low,46,Bank Transfer,Pending
Asia,China,Food,Fruit,3968.39,2024,28.2,27.23,Low,60,Bank Transfer,Delivered
Asia,China,Food,Fruit,21810.19,2024,22.76,22.5,Low,57,Bank Transfer,Shipped
Asia,China,Food,Cheese,13035.87,2024,17.16,39.57,Medium,19,Bank Transfer,Pending
Asia,China,Food,Milk,14484.73,2024,25.24,41.73,Low,46,Bank Transfer,Shipped
Asia,China,Food,Cheese,7204.78,2025,18.69,13.76,Medium,59,Credit Card,Delivered
Asia,China,Food,Bread,8350.65,2025,25.4,49.64,Low,30,PayPal,Shipped
Asia,China,Food,Fruit,5897.18,2025,21.01,34.11,High,40,PayPal,Pending
Asia,China,Food,Fruit,17175.78,2025,18.58,18.8,Medium,58,Cash,Shipped
Asia,China,Food,Cheese,5566.79,2025,18.24,21.11,Medium,41,PayPal,Shipped
Asia,China,Food,Bread,2549.31,2025,9.81,30.2,Medium,49,PayPal,Pending
Asia,China,Food,Bread,8299.91,2025,16.59,30.7,Medium,60,Cash,Delivered
Asia,China,Food,Fruit,15691.09,2025,28.71,15.91,Medium,58,Cash,Shipped
Asia,China,Food,Cheese,24587.32,2025,15.57,24.39,Low,52,PayPal,Delivered
Asia,China,Food,Bread,18529.1,2025,9.21,42.57,Low,28,Bank Transfer,Pending
Asia,China,Food,Bread,21426.8,2025,6.34,13.8,Low,52,Credit Card,Pending
Asia,China,Food,Milk,16915.97,2025,12.56,13.35,High,22,PayPal,Shipped
Asia,China,Food,Milk,15150.47,2025,7.84,15.95,High,37,Bank Transfer,Delivered
Asia,China,Food,Fruit,20209.37,2025,17.68,14.72,High,38,Cash,Pending
Asia,China,Food,Bread,10339.25,2025,17.24,36.88,Low,22,PayPal,Delivered
Asia,China,Food,Bread,6808.57,2025,7.49,17.64,High,34,Cash,Shipped
Asia,China,Food,Fruit,16555.83,2025,10.34,14.93,Medium,53,Bank Transfer,Pending
Asia,China,Food,Bread,20144.6,2025,11.98,25.21,Medium,44,Bank Transfer,Delivered
Asia,China,Food,Cheese,5642.98,2025,9.54,37.72,Low,36,Credit Card,Delivered
Asia,China,Food,Fruit,17387.38,2025,26.4,38.43,High,30,Credit Card,Pending
Asia,China,Food,Bread,8721.85,2025,25.3,34.26,Low,38,Cash,Shipped
Asia,China,Food,Bread,1772.6,2025,18.15,17.09,High,36,Bank Transfer,Shipped
Asia,China,Food,Bread,7203.2,2025,9.46,16.64,Low,28,PayPal,Delivered
Asia,China,Food,Cheese,6216.39,2025,14.81,27.35,Medium,63,Credit Card,Delivered
Asia,China,Food,Bread,14281.9,2025,22.67,28.25,High,28,Cash,Delivered
Asia,China,Food,Cheese,14019.06,2025,13.19,43.54,High,65,PayPal,Shipped
Asia,China,Food,Fruit,17559.22,2025,21.63,21.67,Low,38,Cash,Pending
Asia,China,Food,Bread,1835.81,2025,7.93,37.88,Low,25,Cash,Shipped
Asia,China,Food,Cheese,13445.35,2025,14.21,39.71,Medium,42,Bank Transfer,Shipped
Asia,China,Food,Bread,2563.16,2025,29.6,35.33,Medium,63,Bank Transfer,Pending
Asia,China,Furniture,Table,10659.27,2020,5.18,42.01,High,62,Credit Card,Shipped
Asia,China,Furniture,Table,7894.54,2020,27.66,26.74,High,58,Cash,Delivered
Asia,China,Furniture,Table,5610.71,2020,8.95,24.21,Low,43,Cash,Pending
Asia,China,Furniture,Bed,11848.19,2020,24.48,39.75,High,43,Credit Card,Shipped
Asia,China,Furniture,Table,8555.03,2020,28.07,47.84,Medium,23,Cash,Pending
Asia,China,Furniture,Table,7126.88,2020,8.55,16.51,High,50,PayPal,Delivered
Asia,China,Furniture,Table,10011.05,2020,10.94,27.09,Low,25,PayPal,Pending
Asia,China,Furniture,Table,5158.65,2020,29.75,34.74,High,34,Cash,Shipped
Asia,China,Furniture,Table,8905.24,2020,13.99,43.87,Medium,64,PayPal,Shipped
Asia,China,Furniture,Bed,2325.2,2020,8.81,48.89,High,64,Cash,Delivered
Asia,China,Furniture,Table,7993.52,2020,7.28,16.42,Low,41,Bank Transfer,Pending
Asia,China,Furniture,Bed,6409.71,2020,5.7,15.46,Low,64,Bank Transfer,Shipped
Asia,China,Furniture,Table,11726.73,2020,11.24,28.48,Medium,57,Bank Transfer,Shipped
Asia,China,Furniture,Table,5098.54,2020,24.4,20.55,Low,41,Cash,Pending
Asia,China,Furniture,Bed,6925.21,2020,8.89,19.48,Low,50,PayPal,Pending
Asia,China,Furniture,Table,4978.36,2020,28.68,25.7,Low,58,PayPal,Pending
Asia,China,Furniture,Table,7067.98,2020,13.92,16.8,High,47,Cash,Delivered
Asia,China,Furniture,Bed,6303.24,2020,20.93,32.38,High,31,Bank Transfer,Delivered
Asia,China,Furniture,Bed,18398.89,2020,23.14,37.98,High,60,PayPal,Delivered
Asia,China,Furniture,Bed,10709.88,2020,21.59,16.82,High,28,Bank Transfer,Delivered
Asia,China,Furniture,Bed,7603.34,2020,25.45,44.85,Low,68,Bank Transfer,Delivered
Asia,China,Furniture,Table,6924.89,2020,21.05,43.21,High,53,PayPal,Delivered
Asia,China,Furniture,Bed,9374.28,2020,13.29,39.92,High,36,PayPal,Shipped
Asia,China,Furniture,Bed,2423.46,2020,23.24,24.76,Low,60,Cash,Pending
Asia,China,Furniture,Bed,2536.1,2020,14.31,26.87,High,26,PayPal,Delivered
Asia,China,Furniture,Table,5085.4,2020,19.09,42.77,Low,47,Cash,Delivered
Asia,China,Furniture,Bed,21778.62,2020,22.2,47.19,High,23,PayPal,Delivered
Asia,China,Furniture,Bed,11500.25,2020,28.7,46.76,Medium,45,Cash,Pending
Asia,China,Furniture,Bed,15218.62,2020,18.56,22.3,Medium,37,Credit Card,Delivered
Asia,China,Furniture,Bed,6898.85,2020,13.47,19.12,High,46,Credit Card,Pending
Asia,China,Furniture,Table,8265.85,2021,19.98,42.96,High,68,Credit Card,Shipped
Asia,China,Furniture,Bed,2833.72,2021,10.86,40.62,Low,39,Cash,Shipped
Asia,China,Furniture,Bed,2756.59,2021,12.41,43.08,Medium,34,Credit Card,Delivered
Asia,China,Furniture,Table,11256.41,2021,5.22,46.88,High,26,Cash,Delivered
Asia,China,Furniture,Bed,15651.9,2021,19.33,49.88,High,26,Credit Card,Delivered
Asia,China,Furniture,Bed,10757.0,2021,10.62,23.2,High,29,Cash,Pending
Asia,China,Furniture,Bed,16328.69,2021,10.9,32.26,Low,55,Cash,Pending
Asia,China,Furniture,Bed,5971.9,2021,9.87,39.86,High,69,Cash,Pending
Asia,China,Furniture,Bed,19631.64,2021,26.04,26.91,Low,46,PayPal,Shipped
Asia,China,Furniture,Table,10985.86,2021,16.74,46.87,High,29,Bank Transfer,Pending
Asia,China,Furniture,Table,8516.5,2021,19.42,45.96,Low,21,Credit Card,Delivered
Asia,China,Furniture,Bed,8532.24,2021,25.54,20.49,High,59,PayPal,Pending
Asia,China,Furniture,Table,7213.94,2021,28.41,16.99,High,18,Credit Card,Delivered
Asia,China,Furniture,Bed,6384.44,2021,26.15,28.0,Low,61,Credit Card,Shipped
Asia,China,Furniture,Table,10899.7,2021,26.09,27.65,Low,68,Credit Card,Shipped
Asia,China,Furniture,Table,6206.92,2021,10.64,44.74,High,30,Cash,Pending
Asia,China,Furniture,Bed,2294.86,2021,25.29,21.62,Low,32,Bank Transfer,Pending
Asia,China,Furniture,Bed,6544.89,2021,27.32,26.65,Low,21,Bank Transfer,Pending
Asia,China,Furniture,Bed,8690.39,2021,15.91,19.17,Medium,39,Credit Card,Shipped
Asia,China,Furniture,Bed,11274.59,2021,8.64,13.45,Medium,55,Credit Card,Shipped
Asia,China,Furniture,Table,9031.92,2021,8.16,27.12,Medium,66,Cash,Pending
Asia,China,Furniture,Table,7251.86,2021,20.55,28.6,Medium,43,PayPal,Pending
Asia,China,Furniture,Table,10208.53,2021,14.17,25.5,Medium,53,Credit Card,Shipped
Asia,China,Furniture,Bed,2234.06,2021,20.88,39.01,Medium,63,Bank Transfer,Delivered
Asia,China,Furniture,Bed,16241.81,2021,5.8,24.94,Low,38,Credit Card,Delivered
Asia,China,Furniture,Table,11694.15,2021,12.71,17.11,Medium,44,Credit Card,Delivered
Asia,China,Furniture,Bed,12547.72,2021,22.65,49.97,Low,61,PayPal,Delivered
Asia,China,Furniture,Bed,20510.97,2021,27.19,30.16,Low,68,Cash,Pending
Asia,China,Furniture,Bed,17102.08,2021,10.25,17.61,Low,70,Bank Transfer,Pending
Asia,China,Furniture,Bed,2237.9,2021,21.49,14.54,Low,26,PayPal,Pending
Asia,China,Furniture,Table,7770.81,2022,20.56,15.75,Medium,35,PayPal,Pending
Asia,China,Furniture,Bed,5878.46,2022,22.14,18.92,Low,23,Credit Card,Delivered
Asia,China,Furniture,Table,7293.78,2022,10.82,18.19,Low,56,Cash,Shipped
Asia,China,Furniture,Bed,10100.2,2022,15.17,39.33,Low,28,Credit Card,Pending
Asia,China,Furniture,Table,9255.5,2022,26.95,35.79,Medium,27,PayPal,Shipped
Asia,China,Furniture,Bed,20668.48,2022,23.65,25.82,Medium,46,Cash,Pending
Asia,China,Furniture,Bed,20924.95,2022,8.6,30.17,High,63,Cash,Shipped
Asia,China,Furniture,Table,9171.91,2022,16.75,46.42,Low,18,Bank Transfer,Shipped
Asia,China,Furniture,Bed,2745.88,2022,24.02,31.62,High,42,PayPal,Pending
Asia,China,Furniture,Table,8724.57,2022,5.65,21.45,Medium,31,Credit Card,Delivered
Asia,China,Furniture,Bed,10570.64,2022,14.3,15.6,Medium,49,Bank Transfer,Shipped
Asia,China,Furniture,Bed,11161.52,2022,8.53,30.57,Medium,62,Bank Transfer,Pending
Asia,China,Furniture,Bed,12595.72,2022,9.67,10.42,High,55,Cash,Pending
Asia,China,Furniture,Bed,9302.34,2022,22.78,10.44,Low,20,Credit Card,Pending
Asia,China,Furniture,Bed,1950.85,2022,14.28,11.41,Low,32,Bank Transfer,Delivered
Asia,China,Furniture,Table,5945.04,2022,11.33,15.6,Medium,18,Cash,Pending
Asia,China,Furniture,Bed,6799.38,2022,17.82,29.59,High,63,Cash,Shipped
Asia,China,Furniture,Table,7854.94,2022,25.89,24.08,High,27,PayPal,Shipped
Asia,China,Furniture,Table,7031.84,2022,19.64,49.98,Low,70,Cash,Shipped
Asia,China,Furniture,Bed,17177.72,2022,30.0,16.58,Medium,68,PayPal,Delivered
Asia,China,Furniture,Bed,19673.74,2022,11.43,19.66,High,60,Cash,Pending
Asia,China,Furniture,Table,9709.78,2022,21.67,15.61,High,35,Cash,Pending
Asia,China,Furniture,Bed,15012.48,2022,7.03,24.91,High,24,Credit Card,Pending
Asia,China,Furniture,Table,8302.73,2022,13.53,33.66,Low,54,Cash,Delivered
Asia,China,Furniture,Bed,22670.57,2022,5.52,18.1,Low,44,Credit Card,Delivered
Asia,China,Furniture,Bed,1975.27,2022,28.35,17.37,Low,42,PayPal,Shipped
Asia,China,Furniture,Table,11665.12,2022,18.12,47.24,Low,33,Cash,Pending
